node_id,lat,lon,out_degree,in_degree
9525,-44.875,330.875,565,483
9530,-44.875,340.875,536,427
9531,-44.875,342.875,716,735
9534,-44.875,348.875,556,608
9537,-44.875,354.875,785,648
9538,-44.875,356.875,823,715
9539,-44.875,358.875,736,749
9541,-46.875,2.875,564,594
9542,-46.875,4.875,897,965
9543,-46.875,6.875,824,813
9544,-46.875,8.875,585,639
9545,-46.875,10.875,705,716
9546,-46.875,12.875,637,536
9547,-46.875,14.875,567,476
9550,-46.875,20.875,657,557
9551,-46.875,22.875,639,552
9552,-46.875,24.875,632,603
9553,-46.875,26.875,582,591
9554,-46.875,28.875,532,499
9557,-46.875,34.875,581,583
9560,-46.875,40.875,588,562
9561,-46.875,42.875,586,554
9562,-46.875,44.875,812,789
9563,-46.875,46.875,658,639
9564,-46.875,48.875,720,780
9567,-46.875,54.875,559,576
9568,-46.875,56.875,809,825
9569,-46.875,58.875,1142,1107
9570,-46.875,60.875,569,608
9572,-46.875,64.875,785,885
9573,-46.875,66.875,684,673
9574,-46.875,68.875,1037,932
9575,-46.875,70.875,898,909
9576,-46.875,72.875,870,945
9577,-46.875,74.875,569,585
9579,-46.875,78.875,731,683
9580,-46.875,80.875,629,662
9583,-46.875,86.875,926,801
9584,-46.875,88.875,714,562
9585,-46.875,90.875,559,475
9586,-46.875,92.875,550,418
9587,-46.875,94.875,661,604
9589,-46.875,98.875,537,549
9590,-46.875,100.875,719,698
9594,-46.875,108.875,579,660
9602,-46.875,124.875,591,643
9604,-46.875,128.875,590,584
9665,-46.875,250.875,688,541
9710,-46.875,340.875,744,766
9711,-46.875,342.875,619,642
9712,-46.875,344.875,629,618
9714,-46.875,348.875,614,567
9715,-46.875,350.875,758,647
9716,-46.875,352.875,858,756
9717,-46.875,354.875,934,786
9718,-46.875,356.875,672,503
9724,-48.875,8.875,715,727
9726,-48.875,12.875,666,552
9731,-48.875,22.875,566,492
9732,-48.875,24.875,610,576
9733,-48.875,26.875,833,855
9735,-48.875,30.875,570,571
9740,-48.875,40.875,656,604
9741,-48.875,42.875,943,884
9742,-48.875,44.875,793,794
9744,-48.875,48.875,773,847
9745,-48.875,50.875,874,978
9746,-48.875,52.875,733,834
9748,-48.875,56.875,576,539
9749,-48.875,58.875,710,770
9752,-48.875,64.875,702,778
9753,-48.875,66.875,614,685
9754,-48.875,68.875,882,820
9755,-48.875,70.875,908,881
9756,-48.875,72.875,897,881
9757,-48.875,74.875,962,926
9758,-48.875,76.875,564,550
9759,-48.875,78.875,643,634
9760,-48.875,80.875,693,599
9764,-48.875,88.875,598,532
9768,-48.875,96.875,557,475
9769,-48.875,98.875,547,564
9770,-48.875,100.875,559,641
9771,-48.875,102.875,746,705
9796,-48.875,152.875,581,540
9800,-48.875,160.875,580,581
9801,-48.875,162.875,608,639
9846,-48.875,252.875,777,673
9861,-48.875,282.875,651,649
9888,-48.875,336.875,549,533
9892,-48.875,344.875,693,719
9893,-48.875,346.875,687,698
9894,-48.875,348.875,743,698
9895,-48.875,350.875,1029,1005
9897,-48.875,354.875,937,892
9900,-50.875,0.875,650,597
9901,-50.875,2.875,552,566
9902,-50.875,4.875,538,599
9906,-50.875,12.875,594,524
9907,-50.875,14.875,653,640
9908,-50.875,16.875,688,600
9916,-50.875,32.875,577,656
9917,-50.875,34.875,902,977
9918,-50.875,36.875,634,715
9921,-50.875,42.875,627,717
9922,-50.875,44.875,980,1066
9923,-50.875,46.875,814,795
9924,-50.875,48.875,578,555
9925,-50.875,50.875,639,645
9927,-50.875,54.875,670,642
9928,-50.875,56.875,567,596
9929,-50.875,58.875,800,911
9930,-50.875,60.875,796,870
9931,-50.875,62.875,607,625
9932,-50.875,64.875,648,788
9933,-50.875,66.875,855,973
9939,-50.875,78.875,654,619
9943,-50.875,86.875,801,748
9944,-50.875,88.875,538,527
9948,-50.875,96.875,654,741
9949,-50.875,98.875,727,709
9967,-50.875,134.875,567,643
9979,-50.875,158.875,573,555
9990,-50.875,180.875,562,499
10022,-50.875,244.875,529,431
10030,-50.875,260.875,532,469
10041,-50.875,282.875,609,556
10053,-50.875,306.875,567,438
10059,-50.875,318.875,612,617
10065,-50.875,330.875,607,529
10066,-50.875,332.875,616,618
10067,-50.875,334.875,603,548
10071,-50.875,342.875,529,439
10074,-50.875,348.875,925,953
10075,-50.875,350.875,849,847
10079,-50.875,358.875,652,643
10080,-52.875,0.875,649,657
10091,-52.875,22.875,597,627
10095,-52.875,30.875,1003,1096
10096,-52.875,32.875,624,694
10098,-52.875,36.875,840,885
10099,-52.875,38.875,919,939
10100,-52.875,40.875,694,624
10102,-52.875,44.875,631,766
10104,-52.875,48.875,810,735
10105,-52.875,50.875,827,782
10106,-52.875,52.875,872,841
10107,-52.875,54.875,733,794
10108,-52.875,56.875,603,590
10110,-52.875,60.875,561,548
10111,-52.875,62.875,541,621
10113,-52.875,66.875,558,544
10119,-52.875,78.875,619,636
10123,-52.875,86.875,678,616
10126,-52.875,92.875,859,892
10141,-52.875,122.875,566,605
10143,-52.875,126.875,742,699
10145,-52.875,130.875,601,666
10155,-52.875,150.875,537,504
10156,-52.875,152.875,559,554
10208,-52.875,256.875,530,533
10238,-52.875,316.875,562,512
10241,-52.875,322.875,597,537
10243,-52.875,326.875,735,731
10244,-52.875,328.875,613,586
10245,-52.875,330.875,623,636
10246,-52.875,332.875,660,663
10247,-52.875,334.875,552,685
10249,-52.875,338.875,600,657
10251,-52.875,342.875,606,528
10252,-52.875,344.875,556,453
10253,-52.875,346.875,550,537
10254,-52.875,348.875,614,627
10255,-52.875,350.875,543,553
10259,-52.875,358.875,639,669
10260,-54.875,0.875,615,579
10264,-54.875,8.875,577,579
10265,-54.875,10.875,676,682
10267,-54.875,14.875,664,718
10268,-54.875,16.875,781,872
10269,-54.875,18.875,649,726
10273,-54.875,26.875,595,619
10275,-54.875,30.875,670,682
10277,-54.875,34.875,713,730
10278,-54.875,36.875,854,835
10279,-54.875,38.875,716,739
10280,-54.875,40.875,590,627
10281,-54.875,42.875,692,659
10283,-54.875,46.875,744,736
10288,-54.875,56.875,568,578
10296,-54.875,72.875,773,683
10301,-54.875,82.875,553,621
10303,-54.875,86.875,719,816
10304,-54.875,88.875,1064,992
10306,-54.875,92.875,793,845
10307,-54.875,94.875,734,701
10308,-54.875,96.875,550,543
10310,-54.875,100.875,789,662
10311,-54.875,102.875,585,481
10312,-54.875,104.875,567,494
10315,-54.875,110.875,539,522
10323,-54.875,126.875,554,532
10332,-54.875,144.875,621,677
10417,-54.875,314.875,548,523
10419,-54.875,318.875,747,742
10420,-54.875,320.875,625,600
10424,-54.875,328.875,870,859
10425,-54.875,330.875,783,751
10427,-54.875,334.875,529,470
10433,-54.875,346.875,563,620
10434,-54.875,348.875,587,668
10438,-54.875,356.875,735,721
10442,-56.875,4.875,740,722
10446,-56.875,12.875,602,648
10447,-56.875,14.875,721,741
10448,-56.875,16.875,648,679
10450,-56.875,20.875,555,565
10459,-56.875,38.875,563,576
10465,-56.875,50.875,570,598
10468,-56.875,56.875,635,754
10469,-56.875,58.875,557,620
10472,-56.875,64.875,919,930
10473,-56.875,66.875,637,752
10474,-56.875,68.875,659,800
10478,-56.875,76.875,643,718
10480,-56.875,80.875,629,616
10481,-56.875,82.875,535,599
10485,-56.875,90.875,634,594
10489,-56.875,98.875,591,600
10490,-56.875,100.875,794,699
10505,-56.875,130.875,617,543
10516,-56.875,152.875,649,651
10522,-56.875,164.875,640,701
10554,-56.875,228.875,685,637
10579,-56.875,278.875,563,690
10592,-56.875,304.875,733,712
10647,-58.875,54.875,529,585
10648,-58.875,56.875,540,662
10650,-58.875,60.875,565,664
