node_id,lat,lon,out_degree,in_degree
9544,-46.875,8.875,272,232
9545,-46.875,10.875,383,349
9546,-46.875,12.875,371,347
9547,-46.875,14.875,292,271
9548,-46.875,16.875,311,299
9549,-46.875,18.875,316,285
9552,-46.875,24.875,305,216
9555,-46.875,30.875,378,400
9556,-46.875,32.875,301,292
9558,-46.875,36.875,330,337
9559,-46.875,38.875,295,250
9563,-46.875,46.875,372,365
9564,-46.875,48.875,391,397
9565,-46.875,50.875,384,331
9568,-46.875,56.875,307,302
9569,-46.875,58.875,311,294
9570,-46.875,60.875,460,436
9571,-46.875,62.875,481,455
9572,-46.875,64.875,352,283
9574,-46.875,68.875,277,248
9575,-46.875,70.875,334,381
9577,-46.875,74.875,398,412
9578,-46.875,76.875,281,237
9579,-46.875,78.875,282,239
9580,-46.875,80.875,424,423
9585,-46.875,90.875,269,263
9587,-46.875,94.875,484,416
9588,-46.875,96.875,332,310
9595,-46.875,110.875,289,238
9601,-46.875,122.875,337,352
9663,-46.875,246.875,312,307
9666,-46.875,252.875,349,367
9674,-46.875,268.875,324,400
9701,-46.875,322.875,385,338
9704,-46.875,328.875,364,240
9705,-46.875,330.875,275,201
9709,-46.875,338.875,600,574
9710,-46.875,340.875,313,281
9712,-46.875,344.875,527,495
9713,-46.875,346.875,425,385
9714,-46.875,348.875,436,382
9715,-46.875,350.875,510,501
9716,-46.875,352.875,420,454
9717,-46.875,354.875,302,279
9719,-46.875,358.875,489,431
9724,-48.875,8.875,309,287
9727,-48.875,14.875,407,390
9728,-48.875,16.875,291,276
9730,-48.875,20.875,555,451
9731,-48.875,22.875,392,302
9732,-48.875,24.875,339,303
9733,-48.875,26.875,344,271
9734,-48.875,28.875,332,240
9740,-48.875,40.875,397,293
9741,-48.875,42.875,493,389
9742,-48.875,44.875,438,315
9745,-48.875,50.875,368,325
9747,-48.875,54.875,273,227
9750,-48.875,60.875,272,200
9751,-48.875,62.875,342,317
9754,-48.875,68.875,417,413
9755,-48.875,70.875,421,400
9756,-48.875,72.875,457,421
9757,-48.875,74.875,445,490
9758,-48.875,76.875,327,356
9761,-48.875,82.875,353,341
9763,-48.875,86.875,339,331
9764,-48.875,88.875,306,303
9768,-48.875,96.875,385,310
9781,-48.875,122.875,565,574
9782,-48.875,124.875,436,445
9783,-48.875,126.875,310,332
9839,-48.875,238.875,283,277
9879,-48.875,318.875,330,294
9881,-48.875,322.875,323,274
9882,-48.875,324.875,337,281
9884,-48.875,328.875,285,252
9886,-48.875,332.875,366,433
9887,-48.875,334.875,336,331
9888,-48.875,336.875,539,496
9889,-48.875,338.875,344,332
9890,-48.875,340.875,327,311
9891,-48.875,342.875,445,429
9892,-48.875,344.875,269,291
9894,-48.875,348.875,350,364
9895,-48.875,350.875,313,290
9896,-48.875,352.875,427,411
9897,-48.875,354.875,319,324
9902,-50.875,4.875,308,300
9908,-50.875,16.875,445,433
9909,-50.875,18.875,377,402
9910,-50.875,20.875,359,378
9911,-50.875,22.875,388,309
9913,-50.875,26.875,421,329
9914,-50.875,28.875,576,408
9916,-50.875,32.875,603,513
9917,-50.875,34.875,397,374
9923,-50.875,46.875,465,455
9925,-50.875,50.875,275,247
9927,-50.875,54.875,451,423
9928,-50.875,56.875,337,304
9929,-50.875,58.875,334,335
9930,-50.875,60.875,396,327
9931,-50.875,62.875,310,287
9932,-50.875,64.875,332,313
9933,-50.875,66.875,386,372
9934,-50.875,68.875,356,286
9935,-50.875,70.875,462,338
9938,-50.875,76.875,284,264
9941,-50.875,82.875,350,366
9942,-50.875,84.875,276,307
9944,-50.875,88.875,508,426
9945,-50.875,90.875,272,291
9946,-50.875,92.875,300,391
9948,-50.875,96.875,439,461
9956,-50.875,112.875,290,277
9960,-50.875,120.875,351,364
9961,-50.875,122.875,324,271
10065,-50.875,330.875,404,373
10067,-50.875,334.875,324,363
10068,-50.875,336.875,521,484
10069,-50.875,338.875,420,405
10070,-50.875,340.875,308,318
10071,-50.875,342.875,457,455
10072,-50.875,344.875,381,411
10074,-50.875,348.875,295,279
10075,-50.875,350.875,350,328
10076,-50.875,352.875,330,361
10077,-50.875,354.875,322,269
10087,-52.875,14.875,305,277
10088,-52.875,16.875,739,644
10089,-52.875,18.875,364,312
10092,-52.875,24.875,291,250
10093,-52.875,26.875,381,382
10094,-52.875,28.875,484,434
10095,-52.875,30.875,367,300
10097,-52.875,34.875,406,362
10100,-52.875,40.875,298,243
10101,-52.875,42.875,355,310
10103,-52.875,46.875,379,282
10104,-52.875,48.875,288,228
10107,-52.875,54.875,379,304
10108,-52.875,56.875,285,270
10109,-52.875,58.875,290,309
10110,-52.875,60.875,426,418
10111,-52.875,62.875,341,304
10114,-52.875,68.875,342,326
10118,-52.875,76.875,397,505
